1326.5	150.08	63.788	63.301	32.898	1
1460.6	148.73	59.3	53.972	21.543	1
543.94	14.66	2.8652	3.6492	1.4503	0
601.46	26.892	2.529	4.2292	0.37366	0
1320.2	149.65	57.525	72.797	34.738	1
548.56	13.249	2.7047	2.4299	1.3092	0
1463.3	152.09	54.67	61.276	21.614	1
607.86	27.041	1.1423	1.305	0.31044	0
1320.6	138.83	59.024	70.504	35.298	1
549.32	13.519	3.8149	2.2538	1.3516	0
1456.9	138.19	54.804	60.016	22.512	1
606.68	25.322	1.8362	1.4364	0.59073	0
1314.2	134.83	56.298	73.153	35.404	1
551.11	13.345	2.1203	3.4851	0.78739	0
1449.3	134.5	51.977	62.029	23.012	1
610.68	27.272	0.96792	3.0359	2.0259	0
1318.5	132.75	55.875	70.614	36.299	1
551.61	11.38	4.5225	1.9903	1.508	0
1453.6	130.98	51.342	58.954	24.451	1
609.94	24.302	3.2468	0.92687	1.7948	0
1326.5	140.35	51.46	70.521	32.964	1
549.55	9.9172	2.9569	2.9448	1.4007	0
1461.9	138.25	46.375	60.52	20.876	1
608.4	23.721	1.8597	2.1294	0.83385	0
1329.8	150.46	59.663	69.156	33.643	1
549.93	9.5153	2.3177	1.9361	0.48863	0
1464.6	148.85	55.694	58.144	22.332	1
609.46	22.522	1.7377	1.1027	1.1727	0
1328.9	152.39	66.237	62.707	36.306	1
550.03	13.148	4.0731	2.3551	0.29886	0
1462	150.45	61.056	53.723	24.636	1
607.69	26.468	2.4734	2.2025	0.93993	0
1330.9	152.31	60.566	70.756	33.251	1
550.55	14.221	3.0794	2.8679	1.2264	0
1463.1	150.74	54.701	60.728	20.804	1
609.9	27.477	2.8786	2.6603	0.67274	0
1323	142.66	54.632	65.81	37.374	1
549.93	11.12	3.1876	2.8893	0.88381	0
1455.7	140.06	48.613	54.167	24.937	1
608.5	24.892	1.6174	1.8174	0.19921	0
1095.2	88.918	20.78	54.888	18.369	1
491.02	6.6706	3.6397	6.2907	2.7374	0
1196.7	85.842	19.777	44.12	11.897	1
546.48	14.274	3.9977	5.5697	2.0547	0
1114.2	83.269	9.475	59.374	18.529	1
490.9	5.2764	2.9566	5.7694	1.1017	0
1225.5	83.441	10.367	50.695	14.315	1
544.49	11.942	1.3854	4.4803	0.66707	0
